request_id,registrar_name,registrar_email,credential_id,request_date,verification_result,response_time_ms,fraud_flag
6e014662-94ff-4478-88c0-fd1deb71dd67,Weissnat Inc,weis.inc.up@phinmaed.com,69ce1560-da19-4aed-b189-104ba5fae59e,2024-07-09T19:55:01.037Z,Valid,451,0
06e991fe-f659-4d61-a987-56d63931b9a3,Shanahan and Sons,shan.sons.up@phinmaed.com,989145b5-658e-40b0-a31f-4bef478ff8c2,2024-03-31T07:04:56.227Z,Invalid,705,1
1c1537de-d0d6-4f8e-9dfd-4149bf12c877,"Satterfield, Braun and Boyle",satt.boyle.up@phinmaed.com,9e5971d4-d1c1-44df-b553-81e881eed9f6,2026-06-11T12:21:00.283Z,Valid,1526,0
c17254ae-3119-4499-be4c-c5153db84bb6,Blanda - Kohler,blan.kohler.up@phinmaed.com,4eccd418-519d-4d55-a5bd-c748f0f3207d,2023-11-11T21:49:28.036Z,Pending,2178,0
395049ce-cdec-4b3b-a6a2-fff56a12b379,Carter - Bosco,cart.bosco.up@phinmaed.com,7de9749a-56c2-4593-995b-f3522a4d8e45,2026-04-26T18:24:05.542Z,Pending,1988,0
a6f1cc68-7970-4ab0-bbdc-6b55d20c512a,"McDermott, Emard and Farrell",mcde.farrell.up@phinmaed.com,f3c67a7a-bd95-498d-8f1a-b4e83358c1a2,2026-09-04T16:13:00.375Z,Valid,370,0
33deb229-b5d4-4af5-b265-15c9d1c15454,Tremblay LLC,trem.llc.up@phinmaed.com,06addfe6-7015-473c-818d-1533307424eb,2024-09-22T15:22:29.642Z,Pending,845,0
446753a9-9e8c-471a-bd69-5c6eea3d38c1,"Ritchie, Price and Bartoletti",ritc.bartoletti.up@phinmaed.com,85fd14ef-1abb-4acc-bb97-ba8e5f4cc22d,2026-08-16T15:56:46.852Z,Valid,367,0
c7ca34ab-730d-48f7-8e2a-efb9752ccf6a,Okuneva - Stracke,okun.stracke.up@phinmaed.com,b2a5655f-c252-4725-8141-5f2aaa4f87c4,2026-06-20T00:58:18.312Z,Valid,1115,0
e1dada7d-aade-4ab5-8259-d4de0e4f9a01,Fadel - Brakus,fade.brakus.up@phinmaed.com,24ca5b3a-e130-4aeb-b729-cd8736035457,2025-08-17T17:51:33.865Z,Valid,2359,0
b3a59c5c-534a-4634-be66-ccf7125e6224,"D'Amore, Schamberger and Mante",damo.mante.up@phinmaed.com,0383491b-ed54-4bd6-a3c2-dbbd5a34bc61,2023-09-21T00:02:23.175Z,Valid,1157,0
4fa8766e-535f-4ef2-9bc6-6043508d51bd,"Gulgowski, MacGyver and Wehner",gulg.wehner.up@phinmaed.com,f7341dc2-4633-4300-8406-196cc755635e,2024-07-08T00:27:38.345Z,Valid,463,1
7bf3a4ef-5cfb-41cb-b71d-7ff891939e68,Schuppe and Sons,schu.sons.up@phinmaed.com,f3ee55ec-2385-48b8-880d-b857c8866479,2023-03-08T05:59:21.598Z,Valid,1813,0
