eventId,eventTs,action,actorId,actorRole,targetType,targetId,ipHash,userAgentHash,velocity_1m,velocity_5m,velocity_15m,failures_15m,failure_ratio_15m,token_abuse_15m,access_denied_15m,security_alerts_15m,unique_targets_15m,stepup_challenges_15m,stepup_failures_15m,stepup_locked_24h,actor_age_hours,is_first_seen_actor,hour_of_day,day_of_week,seedSignals,labelSource,reviewStatus,weakLabel
b9e168e7-8c4d-4b52-ad22-d9ccd0701cb0,2026-03-04T14:15:17.698Z,CREDENTIAL_REQUESTED,user_3ARUCOW5gGenxgJXVjwpU7LanPc,STUDENT,CredentialRequest,310825d8-ecdd-424f-9ea8-90b57ffe762e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3,,weak_seed,,0
687c703c-e16f-4ae6-9106-c7e84de4e05b,2026-03-04T14:15:44.415Z,CREDENTIAL_REQUEST_APPROVED,user_3ARTYUOWpud71cTQ6BsXUqbx2gw,INSTITUTION,CredentialRequest,310825d8-ecdd-424f-9ea8-90b57ffe762e,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3,future_security_followup_15m,future_followup,,1
61f55c87-3690-49a2-85aa-3e430f8e1e5e,2026-03-04T14:15:59.176Z,SECURITY_ALERT,user_3ARTYUOWpud71cTQ6BsXUqbx2gw,INSTITUTION,StepUpChallenge,af5b522e-053d-4eaf-8748-68c5e8ffc16d,,93401fdcc71d100f5c3287527d5340f8ea62e2408e53b9dd34b8ec7ca229fb7f,1,1,1,0,0,0,0,0,1,1,0,0,0.004100277777777778,1,14,3,future_security_followup_15m,future_followup,,1
bc576465-1257-4f45-9506-95f0046c616a,2026-03-04T14:16:18.457Z,SECURITY_ALERT,user_3ARTYUOWpud71cTQ6BsXUqbx2gw,INSTITUTION,StepUpChallenge,6cd420d2-845d-437f-ae26-7ae913bb1749,,93401fdcc71d100f5c3287527d5340f8ea62e2408e53b9dd34b8ec7ca229fb7f,2,2,2,1,0.5,0,0,1,2,2,0,0,0.009456111111111111,1,14,3,high_failure_ratio_15m|future_security_followup_15m,future_followup,,1
c0781a3a-35fc-4a92-80f3-030df6f1210f,2026-03-04T14:18:42.016Z,SECURITY_ALERT,user_3ARTYUOWpud71cTQ6BsXUqbx2gw,INSTITUTION,StepUpChallenge,b492a29a-65e0-4480-8fe9-4eb017284990,,93401fdcc71d100f5c3287527d5340f8ea62e2408e53b9dd34b8ec7ca229fb7f,0,3,3,2,0.6666666666666666,0,0,2,3,3,0,0,0.04933361111111111,1,14,3,high_failure_ratio_15m,weak_seed,,1
b14875a1-70d9-40ac-bf8f-95bf8409e7fe,2026-03-04T14:19:35.586Z,ACCESS_GRANTED,user_3ARTYUOWpud71cTQ6BsXUqbx2gw,INSTITUTION,StepUpChallenge,b492a29a-65e0-4480-8fe9-4eb017284990,,93401fdcc71d100f5c3287527d5340f8ea62e2408e53b9dd34b8ec7ca229fb7f,1,4,4,3,0.75,0,0,3,4,3,0,0,0.06421416666666667,1,14,3,high_failure_ratio_15m,weak_seed,,0
b50d8560-13bb-47b6-8fe6-7a0da653ce52,2026-03-04T14:19:36.496Z,CREDENTIAL_CREATED,user_3ARTYUOWpud71cTQ6BsXUqbx2gw,INSTITUTION,Credential,87d1151e-c80f-4515-883f-898aa8fecf8b,,,2,5,5,3,0.6,0,0,3,4,3,0,0,0.06446694444444444,1,14,3,high_failure_ratio_15m,weak_seed,,0
c9f4bee3-3e3e-4750-9db3-5ebb0324adc8,2026-03-04T14:19:37.852Z,CREDENTIAL_ISSUED,user_3ARTYUOWpud71cTQ6BsXUqbx2gw,INSTITUTION,Credential,87d1151e-c80f-4515-883f-898aa8fecf8b,,,3,6,6,3,0.5,0,0,3,5,3,0,0,0.06484361111111112,1,14,3,high_failure_ratio_15m|wide_target_spread_15m|new_actor_high_velocity_5m,weak_seed,,0
b976389e-17f5-4004-baec-f13ff714907d,2026-03-04T14:19:39.302Z,CREDENTIAL_REQUEST_COMPLETED,user_3ARTYUOWpud71cTQ6BsXUqbx2gw,INSTITUTION,CredentialRequest,310825d8-ecdd-424f-9ea8-90b57ffe762e,,,4,7,7,3,0.42857142857142855,0,0,3,5,3,0,0,0.0652463888888889,1,14,3,wide_target_spread_15m|new_actor_high_velocity_5m,weak_seed,,0
ff9577bd-27ab-46b4-b5df-abceaccd6fd6,2026-03-04T14:28:13.606Z,ACCESS_GRANTED,user_3ARUCOW5gGenxgJXVjwpU7LanPc,STUDENT,CredentialDocument,87d1151e-c80f-4515-883f-898aa8fecf8b,,,0,0,1,0,0,0,0,0,1,0,0,0,0.21553,1,14,3,,weak_seed,,0
