request_id,employer_name,employer_email,credential_id,request_date,verification_result,response_time_ms,fraud_flag
02ce0620-1c5f-4e08-ad53-79b0078872f6,Weissnat Inc,weis.inc.up@phinmaed.com,7f9d0491-efda-4ddd-964a-41dd02cf59c0,2024-07-09T19:55:01.037Z,Valid,451,0
40200679-24da-4897-837c-3aeedbfdf180,Shanahan and Sons,shan.sons.up@phinmaed.com,8ca1bd15-093c-4bda-9b9e-f7e085f86281,2024-03-31T07:04:56.227Z,Invalid,705,1
09073138-3939-43b4-9848-1a810a9d262f,"Satterfield, Braun and Boyle",satt.boyle.up@phinmaed.com,c7342835-98e7-4bfe-b4fc-d4ea3743c722,2026-06-11T12:21:00.283Z,Valid,1526,0
23927644-5f75-4e71-bb35-ad27a1d61f45,Blanda - Kohler,blan.kohler.up@phinmaed.com,f1450003-17e8-4272-9eb1-54ba50bbc874,2023-11-11T21:49:28.036Z,Pending,2178,0
344c1691-b094-48ca-ae7c-db67a4a060cc,Carter - Bosco,cart.bosco.up@phinmaed.com,c14919c6-13ad-404b-8470-5fbb53d230df,2026-04-26T18:24:05.542Z,Pending,1988,0
a2abd5e1-8cd1-4441-8b57-b905540bbdff,"McDermott, Emard and Farrell",mcde.farrell.up@phinmaed.com,1e5e79a6-f571-4801-9649-9524a72426e4,2026-09-04T16:13:00.375Z,Valid,370,0
016ec448-1b7e-4413-b75e-f86072edb669,Tremblay LLC,trem.llc.up@phinmaed.com,26bb13ce-3e0c-437e-b741-540d894e11d4,2024-09-22T15:22:29.642Z,Pending,845,0
b2ec59b4-21cd-4d8c-a93d-ddd60d217498,"Ritchie, Price and Bartoletti",ritc.bartoletti.up@phinmaed.com,29f70682-a4aa-4ece-80e2-0a5a44257293,2026-08-16T15:56:46.852Z,Valid,367,0
4d0e2584-2a5e-4ba0-b3c0-253724c882ac,Okuneva - Stracke,okun.stracke.up@phinmaed.com,2e9b9b67-be89-4d78-8330-e3c21e375e1a,2026-06-20T00:58:18.312Z,Valid,1115,0
0eabed05-1edc-4637-8121-928d070af399,Fadel - Brakus,fade.brakus.up@phinmaed.com,8c4b3a99-8da1-4900-a2c0-39399d7bf20c,2025-08-17T17:51:33.865Z,Valid,2359,0
